Game,Month,Day,Year,Photo
Battleground 9: Chickamauga,March,30,1997,//upload.wikimedia.org/wikipedia/en/thumb/1/10/Battleground_4_-_Shiloh_Coverart.png/220px-Battleground_4_-_Shiloh_Coverart.png
Battleground 10: Middle East,March,30,1997,//upload.wikimedia.org/wikipedia/en/thumb/1/10/Battleground_4_-_Shiloh_Coverart.png/220px-Battleground_4_-_Shiloh_Coverart.png
Battleground 11: East Front,March,30,1997,//upload.wikimedia.org/wikipedia/en/thumb/1/10/Battleground_4_-_Shiloh_Coverart.png/220px-Battleground_4_-_Shiloh_Coverart.png
Battlehawks 1942,March,30,1997,//upload.wikimedia.org/wikipedia/en/thumb/2/20/Battlehawks_1942_Coverart.png/220px-Battlehawks_1942_Coverart.png
Battles in Time,March,30,1997,//upload.wikimedia.org/wikipedia/en/thumb/2/20/Battlehawks_1942_Coverart.png/220px-Battlehawks_1942_Coverart.png
Battles of Napoleon,March,30,1997,//upload.wikimedia.org/wikipedia/en/thumb/7/75/Battles_of_Napoleon_Cover.jpg/220px-Battles_of_Napoleon_Cover.jpg
Battleship: Surface Thunder,September,12,2000,//upload.wikimedia.org/wikipedia/en/thumb/7/77/Battleship_Surface_Thunder_cover_art.jpg/220px-Battleship_Surface_Thunder_cover_art.jpg
Beam Breakers,October,31,2002,//upload.wikimedia.org/wikipedia/en/thumb/7/77/Battleship_Surface_Thunder_cover_art.jpg/220px-Battleship_Surface_Thunder_cover_art.jpg
Beasts and Bumpkins,October,31,2002,//upload.wikimedia.org/wikipedia/en/thumb/7/77/Battleship_Surface_Thunder_cover_art.jpg/220px-Battleship_Surface_Thunder_cover_art.jpg
Beyond Divinity,October,31,2002,//upload.wikimedia.org/wikipedia/en/thumb/9/9b/Beyond_Divinity_cover.jpg/220px-Beyond_Divinity_cover.jpg
Billy the Wizard: Rocket Broomstick Racing,January,27,2006,//upload.wikimedia.org/wikipedia/en/a/a1/Billy_the_Wizard.jpg
BioShock,January,27,2006,//upload.wikimedia.org/wikipedia/en/thumb/6/6d/BioShock_cover.jpg/220px-BioShock_cover.jpg
BioShock 2,January,27,2006,//upload.wikimedia.org/wikipedia/en/thumb/8/8c/Bioshock2_cover.png/220px-Bioshock2_cover.png
BioShock Infinite,January,27,2006,//upload.wikimedia.org/wikipedia/en/thumb/a/a3/Official_cover_art_for_Bioshock_Infinite.jpg/220px-Official_cover_art_for_Bioshock_Infinite.jpg
Black Mesa,January,27,2006,//upload.wikimedia.org/wikipedia/en/thumb/a/a3/Official_cover_art_for_Bioshock_Infinite.jpg/220px-Official_cover_art_for_Bioshock_Infinite.jpg
Blade Strangers,August,28,2018,//upload.wikimedia.org/wikipedia/en/thumb/a/ad/Blade_Strangers.png/220px-Blade_Strangers.png
Blade Symphony,May,7,2014,//upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Blade_Symphony.jpg/220px-Blade_Symphony.jpg
Blades of Time,May,7,2014,//upload.wikimedia.org/wikipedia/en/thumb/1/18/Blades_of_Time_Cover_Art.png/220px-Blades_of_Time_Cover_Art.png
Blitzkrieg,May,7,2014,//upload.wikimedia.org/wikipedia/en/thumb/1/18/Blades_of_Time_Cover_Art.png/220px-Blades_of_Time_Cover_Art.png
Borderlands,October,20,2009,//upload.wikimedia.org/wikipedia/en/thumb/1/18/Blades_of_Time_Cover_Art.png/220px-Blades_of_Time_Cover_Art.png
Borderlands 2,September,18,2012,//upload.wikimedia.org/wikipedia/en/thumb/7/77/Borderlands2boxart3.jpg/220px-Borderlands2boxart3.jpg
Borderlands 3,September,13,2019,//upload.wikimedia.org/wikipedia/en/thumb/2/21/Borderlands_3_cover_art.jpg/220px-Borderlands_3_cover_art.jpg
Borderlands: The Pre-Sequel!,October,14,2014,//upload.wikimedia.org/wikipedia/en/thumb/6/62/Borderlands_The_Pre-Sequel_box_art.jpg/220px-Borderlands_The_Pre-Sequel_box_art.jpg
Braid,April,10,2009,//upload.wikimedia.org/wikipedia/en/thumb/6/62/Borderlands_The_Pre-Sequel_box_art.jpg/220px-Borderlands_The_Pre-Sequel_box_art.jpg
Bridge Project,March,28,2013,//upload.wikimedia.org/wikipedia/en/thumb/6/62/Borderlands_The_Pre-Sequel_box_art.jpg/220px-Borderlands_The_Pre-Sequel_box_art.jpg
Brothers in Arms: Earned in Blood,October,4,2005,//upload.wikimedia.org/wikipedia/en/thumb/0/0c/EIBbox.jpg/220px-EIBbox.jpg
Brothers in Arms: Hell's Highway,September,23,2008,//upload.wikimedia.org/wikipedia/en/thumb/5/5e/Brothers_in_Arms_-_Hells_Highway_300x351.jpg/220px-Brothers_in_Arms_-_Hells_Highway_300x351.jpg
Brothers in Arms: Road to Hill 30,February,15,2005,//upload.wikimedia.org/wikipedia/en/thumb/f/fc/Biafront.jpg/220px-Biafront.jpg
Burnout Paradise: The Ultimate Box,February,3,2009,//upload.wikimedia.org/wikipedia/en/thumb/a/ab/Burnout_Paradise_Boxart_2.jpg/220px-Burnout_Paradise_Boxart_2.jpg
Call of Cthulhu: Dark Corners of the Earth,October,24,2005,//upload.wikimedia.org/wikipedia/en/thumb/2/2c/Call_of_Cthulhu_-_Dark_Corners_of_the_Earth_Coverart.png/220px-Call_of_Cthulhu_-_Dark_Corners_of_the_Earth_Coverart.png
Call of Duty,October,29,2003,//upload.wikimedia.org/wikipedia/commons/thumb/b/bd/CallofDutyLogo.svg/250px-CallofDutyLogo.svg.png
Call of Duty 2,October,25,2005,//upload.wikimedia.org/wikipedia/en/d/d1/Call_of_Duty_2_Box.jpg
Call of Duty 4: Modern Warfare,November,5,2007,//upload.wikimedia.org/wikipedia/en/thumb/5/5f/Call_of_Duty_4_Modern_Warfare.jpg/220px-Call_of_Duty_4_Modern_Warfare.jpg
Call of Duty: Black Ops,November,9,2010,//upload.wikimedia.org/wikipedia/en/thumb/0/02/CoD_Black_Ops_cover.png/220px-CoD_Black_Ops_cover.png
Call of Duty: Black Ops 2,December,12,2012,//upload.wikimedia.org/wikipedia/en/thumb/0/05/Call_of_Duty_Black_Ops_II_box_artwork.png/220px-Call_of_Duty_Black_Ops_II_box_artwork.png
Call of Duty: Black Ops 3,November,6,2015,//upload.wikimedia.org/wikipedia/en/thumb/b/b1/Black_Ops_3.jpg/220px-Black_Ops_3.jpg
Call of Duty: Black Ops 4,October,12,2018,//upload.wikimedia.org/wikipedia/en/thumb/1/1c/Call_of_Duty_Black_Ops_4_official_box_art.jpg/220px-Call_of_Duty_Black_Ops_4_official_box_art.jpg
Call of Duty: Ghosts,November,5,2013,//upload.wikimedia.org/wikipedia/en/thumb/9/9c/Call_of_duty_ghosts_box_art.jpg/220px-Call_of_duty_ghosts_box_art.jpg
Call of Duty: Infinite Warfare,November,4,2016,//upload.wikimedia.org/wikipedia/en/thumb/f/fd/Call_of_Duty_-_Infinite_Warfare_%28promo_image%29.jpg/220px-Call_of_Duty_-_Infinite_Warfare_%28promo_image%29.jpg
Call of Duty: Modern Warfare 2,November,10,2009,//upload.wikimedia.org/wikipedia/en/thumb/d/db/Modern_Warfare_2_cover.PNG/220px-Modern_Warfare_2_cover.PNG
Call of Duty: Modern Warfare 3,November,8,2011,//upload.wikimedia.org/wikipedia/en/thumb/b/bf/Call_of_Duty_Modern_Warfare_3_box_art.png/220px-Call_of_Duty_Modern_Warfare_3_box_art.png
Call of Duty Online,January,14,2013,//upload.wikimedia.org/wikipedia/commons/thumb/b/bd/CallofDutyLogo.svg/250px-CallofDutyLogo.svg.png
Call of Duty: United Offensive,September,14,2004,//upload.wikimedia.org/wikipedia/en/thumb/9/95/Coduobox2.jpg/220px-Coduobox2.jpg
Call of Duty: World at War,November,11,2008,//upload.wikimedia.org/wikipedia/en/thumb/1/19/Call_of_Duty_World_at_War_cover.png/220px-Call_of_Duty_World_at_War_cover.png
CarneyVale: Showtime,November,11,2010,//upload.wikimedia.org/wikipedia/en/thumb/1/19/Call_of_Duty_World_at_War_cover.png/220px-Call_of_Duty_World_at_War_cover.png
CarneyVale: Showtime,November,11,2010,//upload.wikimedia.org/wikipedia/en/thumb/1/19/Call_of_Duty_World_at_War_cover.png/220px-Call_of_Duty_World_at_War_cover.png
Champions of Krynn,June,1,1990,//upload.wikimedia.org/wikipedia/en/thumb/a/a8/Champions_of_Krynn_Coverart.png/220px-Champions_of_Krynn_Coverart.png
Chaos Island: The Lost World,October,30,1997,//upload.wikimedia.org/wikipedia/en/thumb/4/43/Chaosisland-gamecover.jpg/220px-Chaosisland-gamecover.jpg
Chivalry: Medieval Warfare,October,16,2012,//upload.wikimedia.org/wikipedia/en/thumb/5/51/Chivalry_Medieval_Warfare_cover_art.jpg/220px-Chivalry_Medieval_Warfare_cover_art.jpg
Cities in Motion,February,23,2011,//upload.wikimedia.org/wikipedia/en/thumb/2/2f/Cities_in_Motion_logo.png/220px-Cities_in_Motion_logo.png
Cities in Motion 2,April,2,2013,//upload.wikimedia.org/wikipedia/en/thumb/1/16/Cities_in_Motion_2_Coverart.jpg/220px-Cities_in_Motion_2_Coverart.jpg
Cities: Skylines,April,2,2013,//upload.wikimedia.org/wikipedia/en/thumb/5/58/Cities_Skylines_cover_art.jpg/220px-Cities_Skylines_cover_art.jpg
Cities XL,October,8,2009,//upload.wikimedia.org/wikipedia/en/thumb/d/d3/Cities_XL.jpg/220px-Cities_XL.jpg
Civilization III,October,30,2001,//upload.wikimedia.org/wikipedia/en/thumb/7/7a/Civilization_III_Coverart.png/220px-Civilization_III_Coverart.png
Civilization III: Conquests,November,4,2003,//upload.wikimedia.org/wikipedia/en/thumb/6/6d/Civiiiconquests.jpg/220px-Civiiiconquests.jpg
Civilization III: Play the World,October,31,2002,//upload.wikimedia.org/wikipedia/en/thumb/e/e8/Civiiiplaytheworld.jpg/220px-Civiiiplaytheworld.jpg
Civilization IV,October,25,2005,//upload.wikimedia.org/wikipedia/en/thumb/7/7e/CivIVboxshot.jpg/220px-CivIVboxshot.jpg
Civilization V,September,21,2010,//upload.wikimedia.org/wikipedia/en/thumb/5/5c/CIVILIZATION-V-FRONT-OF-BOX.jpg/220px-CIVILIZATION-V-FRONT-OF-BOX.jpg
Civilization V: Brave New World,March,15,2013,//upload.wikimedia.org/wikipedia/en/thumb/3/30/C5BNWcover.jpg/220px-C5BNWcover.jpg
Civilization V: Gods & Kings,February,16,2012,//upload.wikimedia.org/wikipedia/en/thumb/0/04/Gods%26KingsBoxArt.jpg/220px-Gods%26KingsBoxArt.jpg
Civilization VI,October,21,2016,//upload.wikimedia.org/wikipedia/en/thumb/3/3b/Civilization_VI_cover_art.jpg/220px-Civilization_VI_cover_art.jpg
Civilization VI,April,15,2019,//upload.wikimedia.org/wikipedia/en/thumb/3/3b/Civilization_VI_cover_art.jpg/220px-Civilization_VI_cover_art.jpg
Classic British Motor Racing,January,2,2008,//upload.wikimedia.org/wikipedia/en/thumb/7/7b/Classic_British_Motor_Racing.jpg/220px-Classic_British_Motor_Racing.jpg
The Club,February,7,2008,//upload.wikimedia.org/wikipedia/en/thumb/7/7b/Classic_British_Motor_Racing.jpg/220px-Classic_British_Motor_Racing.jpg
Cobalt,February,7,2008,//upload.wikimedia.org/wikipedia/en/thumb/7/7b/Classic_British_Motor_Racing.jpg/220px-Classic_British_Motor_Racing.jpg
Command & Conquer,February,7,2008,//upload.wikimedia.org/wikipedia/en/thumb/f/ff/Logo_of_Command_%26_Conquer.png/250px-Logo_of_Command_%26_Conquer.png
Command & Conquer: Generals,February,14,2003,//upload.wikimedia.org/wikipedia/en/thumb/0/0f/Cncgen-win-cover.jpg/220px-Cncgen-win-cover.jpg
Command & Conquer: Red Alert 2,October,26,2000,//upload.wikimedia.org/wikipedia/en/thumb/1/11/Cncra2-win-cover.jpg/220px-Cncra2-win-cover.jpg
Command & Conquer: Red Alert 3,October,28,2008,//upload.wikimedia.org/wikipedia/en/thumb/9/9b/Command_%26_Conquer_Red_Alert_3_Game_Cover.jpg/220px-Command_%26_Conquer_Red_Alert_3_Game_Cover.jpg
Command & Conquer: Renegade,February,26,2002,//upload.wikimedia.org/wikipedia/en/thumb/4/49/Cncren-cover.jpg/220px-Cncren-cover.jpg
Command & Conquer: Tiberian Sun,August,27,1999,//upload.wikimedia.org/wikipedia/en/thumb/b/be/Cncts-win-cover.jpg/220px-Cncts-win-cover.jpg
Command & Conquer 3: Tiberium Wars,March,26,2007,//upload.wikimedia.org/wikipedia/en/thumb/8/88/Cc3tw-win-cover.jpg/220px-Cc3tw-win-cover.jpg
Command & Conquer 4: Tiberian Twilight,March,16,2010,//upload.wikimedia.org/wikipedia/en/thumb/8/83/Cc4tt-cover.jpg/220px-Cc4tt-cover.jpg
Commandos: Behind Enemy Lines,July,31,1998,//upload.wikimedia.org/wikipedia/en/thumb/d/d2/Commandos_Behind_Enemy_Lines.jpg/220px-Commandos_Behind_Enemy_Lines.jpg
Commandos: Beyond the Call of Duty,March,31,1999,//upload.wikimedia.org/wikipedia/en/thumb/d/d2/Commandos_Behind_Enemy_Lines.jpg/220px-Commandos_Behind_Enemy_Lines.jpg
Commandos: Strike Force,March,17,2006,//upload.wikimedia.org/wikipedia/en/thumb/5/56/Commandos_-_Strike_Force.jpg/220px-Commandos_-_Strike_Force.jpg
Commandos 2: Men of Courage,September,21,2001,//upload.wikimedia.org/wikipedia/en/thumb/c/c7/Commandos2Box.jpg/220px-Commandos2Box.jpg
Commandos 3: Destination Berlin,October,23,2003,//upload.wikimedia.org/wikipedia/en/thumb/9/93/Commandos_3_-_Destination_Berlin_Coverart.png/220px-Commandos_3_-_Destination_Berlin_Coverart.png
Company of Heroes,September,12,2006,//upload.wikimedia.org/wikipedia/en/thumb/c/ce/Companyofheroes_pcboxboxart_160w.jpg/220px-Companyofheroes_pcboxboxart_160w.jpg
Company of Heroes 2,June,25,2013,//upload.wikimedia.org/wikipedia/en/thumb/2/2b/Company_of_Heroes_2_cover.jpeg/220px-Company_of_Heroes_2_cover.jpeg
Constantine,February,14,2005,//upload.wikimedia.org/wikipedia/en/thumb/2/2b/Company_of_Heroes_2_cover.jpeg/220px-Company_of_Heroes_2_cover.jpeg
Contagion,April,14,2014,//upload.wikimedia.org/wikipedia/en/thumb/2/2b/Company_of_Heroes_2_cover.jpeg/220px-Company_of_Heroes_2_cover.jpeg
Cossacks II: Battle for Europe,June,19,2006,//upload.wikimedia.org/wikipedia/en/thumb/1/14/Cossacks_2.jpg/220px-Cossacks_2.jpg
Counter-Strike,June,19,1999,//upload.wikimedia.org/wikipedia/en/thumb/3/33/Counter-Strike_Logo.png/250px-Counter-Strike_Logo.png
Counter-Strike: Condition Zero,March,23,2004,//upload.wikimedia.org/wikipedia/en/thumb/a/a8/CZbox.jpg/220px-CZbox.jpg
Counter-Strike: Global Offensive,August,12,2012,//upload.wikimedia.org/wikipedia/en/thumb/1/1b/CS-GO_Logo.svg/220px-CS-GO_Logo.svg.png
Counter-Strike Online,June,24,2008,//upload.wikimedia.org/wikipedia/en/thumb/1/1b/CS-GO_Logo.svg/220px-CS-GO_Logo.svg.png
Counter-Strike: Source,September,1,2004,//upload.wikimedia.org/wikipedia/en/thumb/4/43/Counter-Strike_Source_%28box_art%29.jpg/220px-Counter-Strike_Source_%28box_art%29.jpg
Crusader Kings,August,27,2004,//upload.wikimedia.org/wikipedia/en/thumb/4/43/Counter-Strike_Source_%28box_art%29.jpg/220px-Counter-Strike_Source_%28box_art%29.jpg
Crusader Kings II,February,14,2012,//upload.wikimedia.org/wikipedia/en/thumb/f/ff/Crusader_Kings_II_box_art.jpg/220px-Crusader_Kings_II_box_art.jpg
Cryostasis: Sleep of Reason,February,27,2009,//upload.wikimedia.org/wikipedia/en/thumb/5/50/Cryostatis_Sleep_of_Reason.jpg/220px-Cryostatis_Sleep_of_Reason.jpg
Crysis,November,13,2007,//upload.wikimedia.org/wikipedia/en/thumb/a/a3/Crysis_Logo.png/250px-Crysis_Logo.png
Crysis Warhead,November,13,2007,//upload.wikimedia.org/wikipedia/en/thumb/2/20/Crysis_Warhead_Boxart.jpg/220px-Crysis_Warhead_Boxart.jpg
Crysis 2,March,22,2011,//upload.wikimedia.org/wikipedia/en/thumb/a/a1/Crysis_2_cover.png/220px-Crysis_2_cover.png
Crysis 3,February,19,2013,//upload.wikimedia.org/wikipedia/en/thumb/2/20/Crysis_3_cover.jpg/220px-Crysis_3_cover.jpg
Curse of the Azure Bonds,September,1,1989,//upload.wikimedia.org/wikipedia/en/thumb/0/0d/Curse_of_the_Azure_Bonds_Coverart.png/220px-Curse_of_the_Azure_Bonds_Coverart.png
The Cursed Crusade,October,25,2011,//upload.wikimedia.org/wikipedia/en/thumb/8/8f/The_Cursed_Crusade_Cover_Art.png/220px-The_Cursed_Crusade_Cover_Art.png
Damnation,May,25,2009,//upload.wikimedia.org/wikipedia/en/thumb/8/8f/The_Cursed_Crusade_Cover_Art.png/220px-The_Cursed_Crusade_Cover_Art.png
Dark Souls,September,22,2011,//upload.wikimedia.org/wikipedia/en/thumb/8/8d/Dark_Souls_Cover_Art.jpg/220px-Dark_Souls_Cover_Art.jpg
Dark Souls II,March,11,2014,//upload.wikimedia.org/wikipedia/en/thumb/e/ed/Dark_Souls_II_cover.jpg/220px-Dark_Souls_II_cover.jpg
Dark Souls III,March,24,2016,//upload.wikimedia.org/wikipedia/en/thumb/b/bb/Dark_souls_3_cover_art.jpg/220px-Dark_souls_3_cover_art.jpg
Dark Sun Online: Crimson Sands,February,1,1996,//upload.wikimedia.org/wikipedia/en/thumb/1/1e/DSO-CS.jpg/220px-DSO-CS.jpg
Dark Sun: Shattered Lands,September,1,1993,//upload.wikimedia.org/wikipedia/en/thumb/b/b7/Dark_Sun_-_Shattered_Lands_Coverart.png/220px-Dark_Sun_-_Shattered_Lands_Coverart.png
Dark Sun: Wake of the Ravager,September,1,1993,//upload.wikimedia.org/wikipedia/en/thumb/6/6f/Dark_Sun_-_Wake_of_the_Ravager_Coverart.png/220px-Dark_Sun_-_Wake_of_the_Ravager_Coverart.png
Darksiders 2,August,14,2012,//upload.wikimedia.org/wikipedia/en/thumb/5/5c/DarksidersII.jpg/220px-DarksidersII.jpg
Darkstone: Evil Reigns,July,31,1999,//upload.wikimedia.org/wikipedia/en/thumb/1/15/Darkstone_Coverart.png/220px-Darkstone_Coverart.png
Daryl F. Gates' Police Quest: SWAT,September,30,1995,//upload.wikimedia.org/wikipedia/en/thumb/9/93/Daryl_F._Gates%27_Police_Quest_-_SWAT_Coverart.png/220px-Daryl_F._Gates%27_Police_Quest_-_SWAT_Coverart.png
Day of Defeat,August,4,2000,//upload.wikimedia.org/wikipedia/en/thumb/5/58/Day_of_Defeat_cover_art.jpg/220px-Day_of_Defeat_cover_art.jpg
Day of Defeat: Source,September,26,2005,//upload.wikimedia.org/wikipedia/en/thumb/b/bb/DODSourceCover.jpg/220px-DODSourceCover.jpg
DayZ,December,16,2013,//upload.wikimedia.org/wikipedia/en/thumb/b/bb/DODSourceCover.jpg/220px-DODSourceCover.jpg
Dead Island,October,20,2011,//upload.wikimedia.org/wikipedia/en/thumb/4/43/Dead_island_PC_packshot.png/220px-Dead_island_PC_packshot.png
Dead Space,October,20,2011,//upload.wikimedia.org/wikipedia/en/thumb/4/43/Dead_island_PC_packshot.png/220px-Dead_island_PC_packshot.png
Dead Space 2,October,20,2011,//upload.wikimedia.org/wikipedia/en/thumb/0/0c/Dead_Space_2_Box_Art.jpg/220px-Dead_Space_2_Box_Art.jpg
Dead Space 3,October,20,2011,//upload.wikimedia.org/wikipedia/en/thumb/1/1a/Dead_Space_3_PC_game_cover.jpg/220px-Dead_Space_3_PC_game_cover.jpg
Deadlight,August,1,2012,//upload.wikimedia.org/wikipedia/en/thumb/b/ba/DeadlightBox.jpg/220px-DeadlightBox.jpg
Dear Esther,February,14,2012,//upload.wikimedia.org/wikipedia/en/thumb/4/4c/DearEstherLogo.jpg/220px-DearEstherLogo.jpg
Death Knights of Krynn,January,15,1991,//upload.wikimedia.org/wikipedia/en/thumb/a/a9/Death_Knights_of_Krynn_Coverart.png/220px-Death_Knights_of_Krynn_Coverart.png
Deathmatch Classic,June,1,2001,//upload.wikimedia.org/wikipedia/en/thumb/a/a9/Death_Knights_of_Krynn_Coverart.png/220px-Death_Knights_of_Krynn_Coverart.png
Defcon,September,29,2006,//upload.wikimedia.org/wikipedia/en/thumb/a/a9/Death_Knights_of_Krynn_Coverart.png/220px-Death_Knights_of_Krynn_Coverart.png
Delta Force,November,1,1998,//upload.wikimedia.org/wikipedia/en/thumb/a/a9/Death_Knights_of_Krynn_Coverart.png/220px-Death_Knights_of_Krynn_Coverart.png
Delta Force 2,November,3,1999,//upload.wikimedia.org/wikipedia/en/thumb/6/65/Delta_Force_2_Coverart.png/220px-Delta_Force_2_Coverart.png
Delta Force: Black Hawk Down,March,24,2003,//upload.wikimedia.org/wikipedia/en/thumb/c/c6/DFBHDCover.jpg/220px-DFBHDCover.jpg
Delta Force: Black Hawk Down: Team Sabre,January,20,2004,//upload.wikimedia.org/wikipedia/en/thumb/a/a2/Delta_Force_-_Black_Hawk_Down_-_Team_Sabre_Coverart.png/220px-Delta_Force_-_Black_Hawk_Down_-_Team_Sabre_Coverart.png
Delta Force: Land Warrior,November,7,2000,//upload.wikimedia.org/wikipedia/en/thumb/f/f6/Land_Warrior_Cover.jpg/220px-Land_Warrior_Cover.jpg
Delta Force: Task Force Dagger,June,27,2002,//upload.wikimedia.org/wikipedia/en/thumb/c/ca/Delta_Force_-_Task_Force_Dagger_Coverart.png/220px-Delta_Force_-_Task_Force_Dagger_Coverart.png
Delta Force: Xtreme,April,22,2005,//upload.wikimedia.org/wikipedia/en/thumb/2/26/DF_Xtreme.jpg/220px-DF_Xtreme.jpg
Delta Force: Xtreme 2,June,2,2009,//upload.wikimedia.org/wikipedia/en/thumb/2/26/DF_Xtreme.jpg/220px-DF_Xtreme.jpg
Democracy 3,October,14,2013,//upload.wikimedia.org/wikipedia/en/thumb/0/0b/Democracy_Coverart.png/220px-Democracy_Coverart.png
Demon's Souls,February,5,2009,//upload.wikimedia.org/wikipedia/en/thumb/9/91/Demon%27s_Souls_Cover.jpg/220px-Demon%27s_Souls_Cover.jpg
Deus Ex,June,26,2000,//upload.wikimedia.org/wikipedia/commons/1/1b/Deus_Ex_Universe_logo.png
Deus Ex: Human Revolution,August,23,2011,//upload.wikimedia.org/wikipedia/en/thumb/0/06/Deus_Ex_Human_Revolution_cover.jpg/220px-Deus_Ex_Human_Revolution_cover.jpg
Deus Ex: Invisible War,December,3,2003,//upload.wikimedia.org/wikipedia/en/thumb/7/79/Dxinvwar.jpg/220px-Dxinvwar.jpg
Deus Ex: Mankind Divided,August,23,2016,//upload.wikimedia.org/wikipedia/en/thumb/9/9a/Deus_Ex%2C_Mankind_Divided_Box_Art.jpeg/220px-Deus_Ex%2C_Mankind_Divided_Box_Art.jpeg
Diablo,December,31,1996,//upload.wikimedia.org/wikipedia/en/thumb/9/9a/Deus_Ex%2C_Mankind_Divided_Box_Art.jpeg/220px-Deus_Ex%2C_Mankind_Divided_Box_Art.jpeg
Diablo II,June,29,2000,//upload.wikimedia.org/wikipedia/en/thumb/d/d5/Diablo_II_Coverart.png/220px-Diablo_II_Coverart.png
Diablo III,May,15,2012,//upload.wikimedia.org/wikipedia/en/thumb/8/80/Diablo_III_cover.png/220px-Diablo_III_cover.png
Digital Combat Simulator,December,10,2008,//upload.wikimedia.org/wikipedia/en/thumb/d/dd/DCS_World_Cover.jpg/220px-DCS_World_Cover.jpg
Dino D-Day,April,8,2011,//upload.wikimedia.org/wikipedia/en/thumb/a/a2/Dino_D-Day_Promotional_Image.jpg/220px-Dino_D-Day_Promotional_Image.jpg
Dirt 3,May,24,2011,//upload.wikimedia.org/wikipedia/en/thumb/2/2b/Dirt_3.jpg/220px-Dirt_3.jpg
Divine Divinity,September,22,2002,//upload.wikimedia.org/wikipedia/en/thumb/0/08/Divine_divinity_cover.jpg/220px-Divine_divinity_cover.jpg
Dofus,September,22,2002,//upload.wikimedia.org/wikipedia/en/thumb/f/f1/Dofus_logo.png/220px-Dofus_logo.png
Doom,December,10,1993,//upload.wikimedia.org/wikipedia/en/thumb/f/f1/Dofus_logo.png/220px-Dofus_logo.png
Doom II: Hell on Earth,December,10,1993,//upload.wikimedia.org/wikipedia/en/thumb/2/29/Doom_II_-_Hell_on_Earth_Coverart.png/220px-Doom_II_-_Hell_on_Earth_Coverart.png
Doom 3,December,10,1993,//upload.wikimedia.org/wikipedia/en/thumb/4/4e/Doom3box.jpg/220px-Doom3box.jpg
DOOM,December,10,1993,//upload.wikimedia.org/wikipedia/en/thumb/5/57/Doom_cover_art.jpg/220px-Doom_cover_art.jpg
Dota 2,July,9,2013,//upload.wikimedia.org/wikipedia/en/thumb/0/0b/Dota_2_%28Steam_2019%29.jpg/220px-Dota_2_%28Steam_2019%29.jpg
Dragon Age II,March,8,2011,//upload.wikimedia.org/wikipedia/en/thumb/6/61/Dragon_Age_2_cover.jpg/220px-Dragon_Age_2_cover.jpg
Dragon Age: Inquisition,November,18,2014,//upload.wikimedia.org/wikipedia/en/thumb/c/ce/Dragon_Age_Inquisition_BoxArt.jpg/220px-Dragon_Age_Inquisition_BoxArt.jpg
Dragon Age: Origins,November,3,2009,//upload.wikimedia.org/wikipedia/en/thumb/8/89/Dragon_Age_Origins_cover.png/220px-Dragon_Age_Origins_cover.png
Dragon Age: Origins – Awakening,March,16,2010,//upload.wikimedia.org/wikipedia/en/thumb/0/02/Dragon_Age_Awakening.jpg/220px-Dragon_Age_Awakening.jpg
Dragon Quest X,August,2,2012,//upload.wikimedia.org/wikipedia/en/thumb/6/67/Dragon_Quest_X_Box_Art.jpg/220px-Dragon_Quest_X_Box_Art.jpg
Dragon Quest X,August,2,2012,//upload.wikimedia.org/wikipedia/en/thumb/6/67/Dragon_Quest_X_Box_Art.jpg/220px-Dragon_Quest_X_Box_Art.jpg
Dragons of Flame,September,1,1989,//upload.wikimedia.org/wikipedia/en/thumb/6/67/Dragon_Quest_X_Box_Art.jpg/220px-Dragon_Quest_X_Box_Art.jpg
DragonStrike,September,1,1989,//upload.wikimedia.org/wikipedia/en/thumb/6/67/Dragon_Quest_X_Box_Art.jpg/220px-Dragon_Quest_X_Box_Art.jpg
DRAMAtical Murder,March,23,2012,//upload.wikimedia.org/wikipedia/en/thumb/6/67/Dragon_Quest_X_Box_Art.jpg/220px-Dragon_Quest_X_Box_Art.jpg
Driver,June,25,1999,//upload.wikimedia.org/wikipedia/en/thumb/6/67/Dragon_Quest_X_Box_Art.jpg/220px-Dragon_Quest_X_Box_Art.jpg
Driver 3,June,24,2004,//upload.wikimedia.org/wikipedia/en/thumb/d/d8/Driv3rbox.jpg/220px-Driv3rbox.jpg
Driver: Parallel Lines,March,14,2006,//upload.wikimedia.org/wikipedia/en/thumb/f/f1/Driver_-_Parallel_Lines_Coverart.jpg/220px-Driver_-_Parallel_Lines_Coverart.jpg
Driver: San Francisco,September,1,2011,//upload.wikimedia.org/wikipedia/en/thumb/e/e3/Driver_San_Francisco_Box_Art.jpg/220px-Driver_San_Francisco_Box_Art.jpg
Duke Nukem,July,1,1991,//upload.wikimedia.org/wikipedia/en/thumb/1/10/DukeNukemLogo.png/250px-DukeNukemLogo.png
Dune,November,1,1992,//upload.wikimedia.org/wikipedia/en/thumb/1/10/DukeNukemLogo.png/250px-DukeNukemLogo.png
Dungeon Defenders,October,19,2011,//upload.wikimedia.org/wikipedia/en/6/62/Dungeon_Defenders_cover.png
Dungeon Keeper,June,26,1997,//upload.wikimedia.org/wikipedia/en/thumb/4/4b/Dungkeep.jpg/220px-Dungkeep.jpg
